name,segment,offset,debug_type,file_offset,overlay_offset
P_JS,0x190b,0x0950,0x006c,0x19d80,0x205f4
P_JSL,0x080b,0x0a53,0x004b,0x08e83,0x205fe
P_LIST,0x010b,0x0b49,0x004c,0x01f79,0x20653
P_MARIO,0x0e0b,0x0c4f,0x004e,0x0f07f,0x2073a
P_NIFEQ,0x050b,0x0c47,0x0042,0x06077,0x207eb
P_NIFG,0x020b,0x0b51,0x0041,0x02f81,0x207f8
P_ORA,0x020b,0x0a52,0x0052,0x02e82,0x20880
P_PEA,0x160b,0x0a45,0x005a,0x16e75,0x208c1
P_PLD,0x0a0b,0x0a42,0x005c,0x0ae72,0x20976
P_PLP,0x190b,0x0a44,0x005c,0x19e74,0x20981
P_REP,0x0d0b,0x0a45,0x005d,0x0de75,0x20a1e
P_SET,0x000b,0x0a50,0x0062,0x00e80,0x20b18
P_STRCPY,0x070b,0x0d52,0x0074,0x08182,0x20baf
P_SUPPRESS,0x160b,0x0f53,0x0063,0x17383,0x20c0f
P_TX,0x070b,0x0958,0x0075,0x07d88,0x20cf5
REALMAC,0x10ec,0x7aa9,0x0084,0x18ce9,0x20e2b
REALSTR,0x10ec,0x7727,0x0084,0x18967,0x20e3b
REALSTR2,0x10ec,0x77a7,0x0084,0x189e7,0x20e4b
REDEFSTRING,0x170b,0x1032,0x0072,0x18462,0x20e59
RELOADLINE,0x10ec,0x13ff,0x0085,0x1263f,0x20eb2
REL_EX,0x120b,0x0b52,0x0064,0x12f82,0x20ee8
REPTRELOADRET,0x040b,0x1244,0x0060,0x05674,0x20f59
ROLTAB,0x10ec,0x7169,0x0085,0x183a9,0x20f7e
ROMPOS,0x10ec,0x13bc,0x0085,0x125fc,0x20f8d
RORTAB,0x10ec,0x7197,0x0085,0x183d7,0x20f9c
RPTPTR,0x10ec,0x1401,0x0085,0x12641,0x20fab
RPTSTACK,0x10ec,0x1403,0x0084,0x12643,0x20fba
RUNBUFFER,0x10ec,0x8b36,0x0084,0x19d76,0x20fcb
RUNNAME,0x10ec,0x8bfe,0x0084,0x19e3e,0x20fe8
SAT,0x10ec,0x8c73,0x0084,0x19eb3,0x20ff8
SBCTAB,0x10ec,0x71c5,0x0085,0x18405,0x21004
SEP,0x10ec,0x8cde,0x0084,0x19f1e,0x2103b
SOURCELEV,0x10ec,0x0f8a,0x0084,0x121ca,0x21095
SOURCEPTR,0x10ec,0x0f9c,0x0085,0x121dc,0x210a7
SPACETXT,0x10ec,0x2555,0x0084,0x13795,0x210b9
SRCLOK1,0x040b,0x0c4d,0x0048,0x0507d,0x21100
SREG,0x10ec,0x248c,0x0084,0x136cc,0x2112a
STARS,0x10ec,0x89a3,0x0084,0x19be3,0x21159
STARTSTRINGPTR,0x10ec,0x0ed3,0x0085,0x12113,0x21167
STATAB,0x10ec,0x71f3,0x0085,0x18433,0x2117e
STEMP1,0x10ec,0x9a88,0x0085,0x1acc8,0x2118d
STEMP2,0x10ec,0x9a8a,0x0085,0x1acca,0x2119c
STRCMP1,0x10ec,0x9778,0x0084,0x1a9b8,0x211ea
STRCMP2,0x10ec,0x9878,0x0084,0x1aab8,0x211fa
STRDEF,0x0b0b,0x0b50,0x0073,0x0bf80,0x21252
STRINGPTR,0x10ec,0x0ed5,0x0085,0x12115,0x21261
STRTEMP1,0x10ec,0x9be4,0x0085,0x1ae24,0x212a4
STXTAB,0x10ec,0x7221,0x0085,0x18461,0x212c0
STYTAB,0x10ec,0x724f,0x0085,0x1848f,0x212cf
STZTAB,0x10ec,0x727d,0x0085,0x184bd,0x212de
SUN,0x10ec,0x8c7c,0x0084,0x19ebc,0x21319
SYMBOLCHAR,0x10ec,0x7827,0x0084,0x18a67,0x2136d
SYMBOLS,0x10ec,0x13c8,0x0085,0x12608,0x21380
SYMLISTNAME,0x10ec,0x13f9,0x0085,0x12639,0x213a1
SYMLISTOPT,0x10ec,0x13f8,0x0084,0x12638,0x213b5
SYMNAME,0x10ec,0x9b5c,0x0084,0x1ad9c,0x213df
SYMPTR,0x10ec,0x0f76,0x0085,0x121b6,0x2140a
SYMTXPTR,0x10ec,0x0f72,0x0085,0x121b2,0x21419
TAB,0x10ec,0x8995,0x0084,0x19bd5,0x2142a
TEMP1,0x10ec,0x9a7c,0x0085,0x1acbc,0x21436
TEMP2,0x10ec,0x9a7e,0x0085,0x1acbe,0x21444
TEMP3,0x10ec,0x9a80,0x0085,0x1acc0,0x21452
TEMP4,0x10ec,0x9a82,0x0085,0x1acc2,0x21460
TEMP5,0x10ec,0x9a84,0x0085,0x1acc4,0x2146e
TEMP6,0x10ec,0x9a86,0x0085,0x1acc6,0x2147c
TEMPCONDLEVEL,0x10ec,0x9a94,0x0085,0x1acd4,0x2148a
TEMPMAPFNAME,0x10ec,0xa43d,0x0084,0x1b67d,0x214a0
TFIELD,0x10ec,0x2482,0x0084,0x136c2,0x214b5
TFIELDFILL,0x10ec,0x2483,0x0084,0x136c3,0x214c4
THURS,0x10ec,0x8c63,0x0084,0x19ea3,0x214e5
TOTALBYTES,0x10ec,0x13cc,0x0085,0x1260c,0x21566
TOTALLINES,0x10ec,0x13d0,0x0085,0x12610,0x21579
